Y,X,PC_4,Year,Gemeente code,Provincie code,Provincie name,Gemeente name
52.247968558,4.99041792237,1396,2020,736,26,Utrecht,De Ronde Venen
52.5326302067,4.9344327996,1461,2020,370,27,Noord-Holland,Beemster
52.5921708745,4.97491291503,1475,2020,385,27,Noord-Holland,Edam-Volendam
52.480243998,5.00017330129,1482,2020,852,27,Noord-Holland,Waterland
52.4629471964,4.80027728281,1541,2020,479,27,Noord-Holland,Zaanstad
52.6420927311,5.0989944169,1627,2020,405,27,Noord-Holland,Hoorn
52.6470685874,4.82103604054,1705,2020,398,27,Noord-Holland,Heerhugowaard
52.850340648,4.72024989106,1759,2020,441,27,Noord-Holland,Schagen
52.5987686637,4.71956277735,1851,2020,399,27,Noord-Holland,Heiloo
52.4965010661,4.66271241196,1945,2020,375,27,Noord-Holland,Beverwijk
52.5145693631,4.62228796068,1969,2020,396,27,Noord-Holland,Heemskerk
52.3541661399,4.72277940316,2143,2020,394,27,Noord-Holland,Haarlemmermeer
52.2367719329,4.46005054231,2203,2020,575,28,Zuid-Holland,Noordwijk
52.1446977088,4.4722739296,2324,2020,546,28,Zuid-Holland,Leiden
52.1139167356,4.5067067518,2381,2020,638,28,Zuid-Holland,Zoeterwoude
52.1334987218,4.72538137838,2445,2020,484,28,Zuid-Holland,Alphen aan den Rijn
51.998005785,4.16661727462,2692,2020,1783,28,Zuid-Holland,Westland
52.0082029613,4.16638833119,2694,2020,1783,28,Zuid-Holland,Westland
51.9275559158,4.57766148963,2902,2020,502,28,Zuid-Holland,Capelle aan den IJssel
51.9113472676,4.6946045344,2941,2020,1931,28,Zuid-Holland,Krimpenerwaard
51.9096027237,4.44307497576,3025,2020,599,28,Zuid-Holland,Rotterdam
51.9332148167,4.52134029339,3062,2020,599,28,Zuid-Holland,Rotterdam
51.9463914388,4.55007436015,3067,2020,599,28,Zuid-Holland,Rotterdam
51.8953652668,4.48460660631,3081,2020,599,28,Zuid-Holland,Rotterdam
51.8613394539,4.36872356867,3191,2020,599,28,Zuid-Holland,Rotterdam
51.7176974062,4.08813202353,3249,2020,1924,28,Zuid-Holland,Goeree-Overflakkee
51.8113014611,4.42647810537,3261,2020,1963,28,Zuid-Holland,Hoeksche Waard
51.7498021878,4.54409685192,3291,2020,1963,28,Zuid-Holland,Hoeksche Waard
51.8094991317,4.60752798133,3336,2020,642,28,Zuid-Holland,Zwijndrecht
51.8344785331,4.72407508431,3356,2020,590,28,Zuid-Holland,Papendrecht
52.0998046553,5.10899207247,3513,2020,344,26,Utrecht,Utrecht
52.0737745418,5.11503236938,3522,2020,344,26,Utrecht,Utrecht
52.2234121652,5.01883623594,3632,2020,1904,26,Utrecht,Stichtse Vecht
52.3629653887,5.51238292166,3899,2020,50,24,Flevoland,Zeewolde
52.0087572436,5.56320839726,3903,2020,345,26,Utrecht,Veenendaal
52.0389451896,5.55132529035,3905,2020,345,26,Utrecht,Veenendaal
52.0538798311,5.40913742778,3953,2020,1581,26,Utrecht,Utrechtse Heuvelrug
51.9954843226,5.44670296331,3958,2020,1581,26,Utrecht,Utrechtse Heuvelrug
52.0342915004,5.50167195684,3959,2020,1581,26,Utrecht,Utrechtse Heuvelrug
51.8997842143,5.41537249331,4003,2020,281,25,Gelderland,Tiel
51.8843680446,5.38198529808,4013,2020,281,25,Gelderland,Tiel
51.8695072484,5.07248309552,4161,2020,1960,25,Gelderland,West Betuwe
51.8443470316,5.12485031636,4171,2020,1960,25,Gelderland,West Betuwe
51.8313695971,5.30821867483,4184,2020,1960,25,Gelderland,West Betuwe
51.6539099209,3.92397128563,4301,2020,1676,29,Zeeland,Schouwen-Duiveland
51.5284823821,3.56404493198,4364,2020,717,29,Zeeland,Veere
51.4897300307,3.88820109169,4462,2020,664,29,Zeeland,Goes
51.514963496,3.90731010229,4464,2020,664,29,Zeeland,Goes
51.3912163829,3.54841409074,4511,2020,1714,29,Zeeland,Sluis
51.4286140847,4.28400516836,4634,2020,873,30,Noord-Brabant,Woensdrecht
51.6582886622,4.4149286384,4794,2020,1709,30,Noord-Brabant,Moerdijk
51.630602044,4.73122193608,4823,2020,758,30,Noord-Brabant,Breda
51.5717400226,4.63016835233,4875,2020,777,30,Noord-Brabant,Etten-Leur
51.6369230059,4.86447742888,4902,2020,826,30,Noord-Brabant,Oosterhout
51.4694092166,5.18609585722,5087,2020,798,30,Noord-Brabant,Hilvarenbeek
51.5630108264,4.88579688189,5124,2020,784,30,Noord-Brabant,Gilze en Rijen
51.5716836388,5.29886477842,5281,2020,757,30,Noord-Brabant,Boxtel
51.6231805231,5.3801432384,5292,2020,845,30,Noord-Brabant,Sint-Michielsgestel
51.8152729286,5.50502193426,5394,2020,828,30,Noord-Brabant,Oss
51.7910859676,5.46485132107,5396,2020,828,30,Noord-Brabant,Oss
51.642025761,5.71916021633,5409,2020,856,30,Noord-Brabant,Uden
51.5793781587,5.71407087925,5423,2020,1652,30,Noord-Brabant,Gemert-Bakel
51.3746681225,5.29418169692,5525,2020,770,30,Noord-Brabant,Eersel
51.3467762322,5.45461166946,5554,2020,858,30,Noord-Brabant,Valkenswaard
51.3593834418,5.38661679015,5561,2020,1724,30,Noord-Brabant,Bergeijk
51.6762874525,5.93400133015,5835,2020,756,30,Noord-Brabant,Boxmeer
51.6061823035,6.0653021471,5854,2020,893,31,Limburg,Bergen (L)
51.5365727982,6.07777090141,5861,2020,984,31,Limburg,Venray
51.306796234,6.12538272082,5951,2020,983,31,Limburg,Venlo
51.1654463049,5.79148998903,6015,2020,1640,31,Limburg,Leudal
51.0984353841,5.97625858033,6105,2020,1711,31,Limburg,Echt-Susteren
51.109906948,5.91152784004,6111,2020,1711,31,Limburg,Echt-Susteren
